Strike,Expiry,Type,Symbol,Last,Vol
6.0,2015-01-17 00:00:00,call,SLV150117C00006000,14.13,5
7.0,2015-01-17 00:00:00,call,SLV150117C00007000,12.47,0
7.0,2015-01-17 00:00:00,put,SLV150117P00007000,0.03,0
8.0,2015-01-17 00:00:00,call,SLV150117C00008000,12.0,4
8.0,2015-01-17 00:00:00,put,SLV150117P00008000,0.04,0
8.5,2014-10-18 00:00:00,put,SLV141018P00008500,0.05,0
9.0,2014-10-18 00:00:00,call,SLV141018C00009000,10.55,0
9.0,2015-01-17 00:00:00,call,SLV150117C00009000,9.75,4
9.0,2015-01-17 00:00:00,put,SLV150117P00009000,0.01,67
9.5,2015-04-17 00:00:00,call,SLV150417C00009500,10.79,1
10.0,2014-10-18 00:00:00,call,SLV141018C00010000,9.0,3
10.0,2014-10-18 00:00:00,put,SLV141018P00010000,0.1,0
10.0,2014-12-20 00:00:00,call,SLV141220C00010000,8.75,4
10.0,2015-01-17 00:00:00,call,SLV150117C00010000,8.7,50
10.0,2015-01-17 00:00:00,put,SLV150117P00010000,0.01,50
10.0,2016-01-15 00:00:00,call,SLV160115C00010000,8.95,1
10.0,2016-01-15 00:00:00,put,SLV160115P00010000,0.05,2
10.5,2015-04-17 00:00:00,call,SLV150417C00010500,9.6,150
11.0,2014-10-18 00:00:00,call,SLV141018C00011000,8.0,2
11.0,2015-01-17 00:00:00,call,SLV150117C00011000,9.2,30
11.0,2015-01-17 00:00:00,put,SLV150117P00011000,0.04,1
11.0,2016-01-15 00:00:00,call,SLV160115C00011000,10.25,1
11.0,2016-01-15 00:00:00,put,SLV160115P00011000,0.08,11
11.5,2014-10-18 00:00:00,put,SLV141018P00011500,0.02,150
12.0,2014-09-05 00:00:00,call,SLV140905C00012000,7.0,1
12.0,2014-10-18 00:00:00,call,SLV141018C00012000,8.11,4
12.0,2014-10-18 00:00:00,put,SLV141018P00012000,0.05,2
12.0,2015-01-17 00:00:00,call,SLV150117C00012000,6.75,6
12.0,2015-01-17 00:00:00,put,SLV150117P00012000,0.03,10
12.0,2016-01-15 00:00:00,call,SLV160115C00012000,7.01,2
12.0,2016-01-15 00:00:00,put,SLV160115P00012000,0.14,10
12.5,2014-10-18 00:00:00,put,SLV141018P00012500,0.06,5
12.5,2015-04-17 00:00:00,put,SLV150417P00012500,0.02,150
13.0,2014-09-20 00:00:00,call,SLV140920C00013000,5.05,2
13.0,2014-10-18 00:00:00,call,SLV141018C00013000,7.59,1
13.0,2014-10-18 00:00:00,put,SLV141018P00013000,0.03,20
13.0,2015-01-17 00:00:00,call,SLV150117C00013000,5.75,2
13.0,2015-01-17 00:00:00,put,SLV150117P00013000,0.03,50
13.0,2016-01-15 00:00:00,call,SLV160115C00013000,6.1,14
13.0,2016-01-15 00:00:00,put,SLV160115P00013000,0.19,128
13.5,2014-09-20 00:00:00,call,SLV140920C00013500,6.7,1
13.5,2014-10-18 00:00:00,call,SLV141018C00013500,7.05,8
13.5,2014-10-18 00:00:00,put,SLV141018P00013500,0.01,1
13.5,2015-04-17 00:00:00,call,SLV150417C00013500,5.31,5
13.5,2015-04-17 00:00:00,put,SLV150417P00013500,0.06,5
14.0,2014-09-20 00:00:00,call,SLV140920C00014000,4.15,9
14.0,2014-09-20 00:00:00,put,SLV140920P00014000,0.01,20
14.0,2014-10-18 00:00:00,call,SLV141018C00014000,5.05,9
14.0,2014-10-18 00:00:00,put,SLV141018P00014000,0.01,6
14.0,2015-01-17 00:00:00,call,SLV150117C00014000,4.84,7
14.0,2015-01-17 00:00:00,put,SLV150117P00014000,0.04,2
14.0,2015-04-17 00:00:00,put,SLV150417P00014000,0.08,5
14.0,2016-01-15 00:00:00,call,SLV160115C00014000,5.21,5
14.0,2016-01-15 00:00:00,put,SLV160115P00014000,0.28,10
14.5,2014-09-20 00:00:00,call,SLV140920C00014500,3.6,3
14.5,2014-10-18 00:00:00,call,SLV141018C00014500,5.78,5
14.5,2014-10-18 00:00:00,put,SLV141018P00014500,0.03,15
14.5,2015-04-17 00:00:00,call,SLV150417C00014500,4.32,20
15.0,2014-09-20 00:00:00,call,SLV140920C00015000,3.64,40
15.0,2014-09-20 00:00:00,put,SLV140920P00015000,0.01,49
15.0,2014-10-18 00:00:00,call,SLV141018C00015000,3.8,2
15.0,2014-10-18 00:00:00,put,SLV141018P00015000,0.02,1
15.0,2014-11-22 00:00:00,call,SLV141122C00015000,3.9,6
15.0,2014-11-22 00:00:00,put,SLV141122P00015000,0.05,7
15.0,2014-12-20 00:00:00,call,SLV141220C00015000,3.88,1
15.0,2014-12-20 00:00:00,put,SLV141220P00015000,0.05,20
15.0,2015-01-17 00:00:00,call,SLV150117C00015000,3.85,9
15.0,2015-01-17 00:00:00,put,SLV150117P00015000,0.06,9
15.0,2015-04-17 00:00:00,call,SLV150417C00015000,3.95,30
15.0,2015-04-17 00:00:00,put,SLV150417P00015000,0.14,20
15.0,2016-01-15 00:00:00,call,SLV160115C00015000,4.3,2
15.0,2016-01-15 00:00:00,put,SLV160115P00015000,0.44,10
15.5,2014-09-20 00:00:00,call,SLV140920C00015500,2.94,8
15.5,2014-09-20 00:00:00,put,SLV140920P00015500,0.01,800
15.5,2014-10-18 00:00:00,call,SLV141018C00015500,5.12,10
15.5,2014-10-18 00:00:00,put,SLV141018P00015500,0.02,50
15.5,2015-04-17 00:00:00,call,SLV150417C00015500,3.65,15
15.5,2015-04-17 00:00:00,put,SLV150417P00015500,0.21,10
16.0,2014-09-12 00:00:00,call,SLV140912C00016000,3.3,10
16.0,2014-09-20 00:00:00,call,SLV140920C00016000,2.67,3
16.0,2014-09-20 00:00:00,put,SLV140920P00016000,0.01,401
16.0,2014-09-26 00:00:00,call,SLV140926C00016000,2.77,2
16.0,2014-09-26 00:00:00,put,SLV140926P00016000,0.02,2
16.0,2014-10-03 00:00:00,put,SLV141003P00016000,0.03,25
16.0,2014-10-18 00:00:00,call,SLV141018C00016000,2.88,52
